City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
1,Victoria,HK,75.38,overcast clouds,22.2855,114.1577,Mini Central
2,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
3,Price,US,73.11,clear sky,39.5994,-110.8107,National 9 - Price River Inn
5,Luwingu,ZM,73.81,scattered clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
12,Faanui,PF,77.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
14,Vaitape,PF,77.7,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
16,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
25,Sarlat-La-Caneda,FR,70.93,light rain,44.889,1.2166,Hotel Plaza Madeleine À Sarlat
31,Kapaa,US,73.09,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
36,Inhambane,MZ,72.32,broken clouds,-23.865,35.3833,Oceano
38,Wanning,CN,75.42,overcast clouds,18.8003,110.3967,Paradise Hotel
40,Kutoarjo,ID,76.26,overcast clouds,-7.7169,109.9128,Massagus Hotel
47,Sehithwa,BW,78.19,overcast clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
51,Santander De Quilichao,CO,77.16,overcast clouds,3.0095,-76.4849,Hotel Los Samanes
54,Uvinza,TZ,70.99,overcast clouds,-5.1036,30.3911,Crown Lodge and lounge
56,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
59,Atuona,PF,77.04,clear sky,-9.8,-139.0333,Villa Enata
60,Port Elizabeth,ZA,78.1,few clouds,-33.918,25.5701,39 On Nile Guest House
69,Eyl,SO,78.48,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
76,Mogadishu,SO,77.4,clear sky,2.0371,45.3438,Hotel Juba
77,Richards Bay,ZA,72.23,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
78,Castro,BR,70.41,clear sky,-24.7911,-50.0119,CHACARA BAILLY
82,Karratha,AU,74.39,clear sky,-20.7377,116.8463,ibis Styles Karratha
84,Sanlucar De Barrameda,ES,71.22,few clouds,36.7781,-6.3515,HOTEL BARRAMEDA
86,Port Alfred,ZA,73.29,broken clouds,-33.5906,26.891,The Halyards Hotel & Spa
87,Villa Hayes,PY,73.49,heavy intensity rain,-25.0931,-57.5236,Dirección chinos villa hayes
90,Kutum,SD,78.69,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
91,Namatanai,PG,79.23,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
92,Dingle,PH,76.32,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
95,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,Casa Tia Villa
101,Yenagoa,NG,75.56,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
