City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
Busselton,AU,-33.65,115.3333,57.38,85,93,7.36,overcast clouds
Victoria,HK,22.2855,114.1577,75.38,63,86,15.99,overcast clouds
Vaini,TO,-21.2,-175.2,78.96,78,75,8.05,broken clouds
Price,US,39.5994,-110.8107,73.11,19,0,0.0,clear sky
Hermanus,ZA,-34.4187,19.2345,64.8,92,100,15.14,overcast clouds
Luwingu,ZM,-10.2621,29.9271,73.81,25,46,7.18,scattered clouds
Punta Arenas,CL,-53.15,-70.9167,51.82,81,75,31.07,light intensity shower rain
Airai,TL,-8.9266,125.4092,63.01,88,90,0.09,overcast clouds
Kerman,IR,30.2832,57.0788,57.06,30,0,0.0,clear sky
Khatanga,RU,71.9667,102.5,18.72,96,100,8.55,snow
Nantucket,US,41.2835,-70.0995,57.09,63,50,22.21,scattered clouds
Ilulissat,GL,69.2167,-51.1,30.22,64,75,13.8,broken clouds
Faanui,PF,-16.4833,-151.75,77.68,77,4,7.38,light rain
Havre,FR,49.5833,0.3333,64.8,88,0,14.97,clear sky
Vaitape,PF,-16.5167,-151.75,77.7,78,6,7.83,light rain
Klaksvik,FO,62.2266,-6.589,41.92,69,64,7.94,broken clouds
Denpasar,ID,-8.65,115.2167,76.71,100,40,3.44,scattered clouds
Albany,US,42.6001,-73.9662,50.41,56,96,1.01,overcast clouds
Mataura,NZ,-46.1927,168.8643,46.24,76,70,6.42,broken clouds
Cape Town,ZA,-33.9258,18.4232,66.34,80,75,9.22,broken clouds
Upernavik,GL,72.7868,-56.1549,20.86,89,100,1.99,light snow
Jamestown,US,42.097,-79.2353,41.02,78,100,16.11,light rain
Northam,GB,51.0333,-4.2167,62.62,90,100,12.5,overcast clouds
Bocas Del Toro,PA,9.3333,-82.25,83.1,69,54,8.77,broken clouds
Nikolskoye,RU,59.7035,30.7861,39.09,86,92,4.59,overcast clouds
Sarlat-La-Caneda,FR,44.889,1.2166,70.93,62,100,8.77,light rain
Saint-Augustin,CA,51.226,-58.6502,54.19,76,93,9.22,overcast clouds
Zhangjiakou,CN,40.81,114.8794,47.05,32,94,2.66,overcast clouds
Ancud,CL,-41.8697,-73.8203,61.23,82,96,9.89,overcast clouds
Zheleznodorozhnyy,RU,55.7503,38.0042,43.32,86,100,6.15,overcast clouds
Manuk Mangkaw,PH,4.8,119.85,81.64,77,100,4.12,overcast clouds
Kapaa,US,22.0752,-159.319,73.09,91,100,19.57,moderate rain
Bluff,NZ,-46.6,168.3333,47.71,70,88,21.36,overcast clouds
Olafsvik,IS,64.8945,-23.7142,44.65,83,100,19.26,overcast clouds
Puerto Ayora,EC,-0.7393,-90.3518,75.16,84,99,7.0,overcast clouds
Fort Nelson,CA,58.8053,-122.7002,51.39,66,75,4.61,broken clouds
Inhambane,MZ,-23.865,35.3833,72.32,77,60,9.33,broken clouds
Rikitea,PF,-23.1203,-134.9692,69.46,75,100,17.92,overcast clouds
Wanning,CN,18.8003,110.3967,75.42,91,100,5.14,overcast clouds
Normandin,CA,48.8333,-72.5321,48.33,81,87,4.61,overcast clouds
Kutoarjo,ID,-7.7169,109.9128,76.26,92,100,2.04,overcast clouds
Yucca Valley,US,34.1142,-116.4322,80.83,33,0,8.99,clear sky
Barrow,US,71.2906,-156.7887,26.62,80,100,5.75,overcast clouds
Kaitangata,NZ,-46.2817,169.8464,46.27,66,100,5.97,overcast clouds
Esperance,AU,-33.8667,121.9,65.1,49,44,20.24,scattered clouds
Gotsu,JP,35.0,132.2167,54.21,73,0,5.73,clear sky
Kodiak,US,57.79,-152.4072,49.51,53,0,8.05,clear sky
Sehithwa,BW,-20.4667,22.7167,78.19,39,100,3.47,overcast clouds
Yellowknife,CA,62.456,-114.3525,43.32,93,75,18.01,broken clouds
Lompoc,US,34.6391,-120.4579,96.78,25,0,12.66,clear sky
Saint George,US,37.1041,-113.5841,82.44,17,0,3.44,clear sky
Santander De Quilichao,CO,3.0095,-76.4849,77.16,75,100,3.56,overcast clouds
Vanavara,RU,60.34,102.2797,28.54,86,96,4.43,overcast clouds
Havoysund,NO,70.9963,24.6622,37.63,76,100,27.69,overcast clouds
Uvinza,TZ,-5.1036,30.3911,70.99,79,91,2.64,overcast clouds
Saskylakh,RU,71.9167,114.0833,1.42,95,90,5.61,overcast clouds
Mahebourg,MU,-20.4081,57.7,70.09,64,20,4.61,few clouds
Mari-Turek,RU,56.7895,49.6235,37.44,82,65,4.34,broken clouds
Butaritari,KI,3.0707,172.7902,81.32,71,100,14.9,overcast clouds
Atuona,PF,-9.8,-139.0333,77.04,66,2,15.03,clear sky
Port Elizabeth,ZA,-33.918,25.5701,78.1,81,20,4.61,few clouds
Ribeira Grande,PT,38.5167,-28.7,66.6,82,40,18.41,light intensity shower rain
New Norfolk,AU,-42.7826,147.0587,50.92,65,77,2.28,broken clouds
Lagos,NG,6.5833,3.75,80.92,87,56,5.84,broken clouds
Faya,SA,18.3851,42.4509,59.52,46,0,5.5,clear sky
Bethel,US,41.3712,-73.414,53.69,52,75,10.36,broken clouds
Mar Del Plata,AR,-38.0023,-57.5575,64.09,96,75,13.8,broken clouds
Qaanaaq,GL,77.484,-69.3632,-0.54,69,0,8.77,clear sky
Tasiilaq,GL,65.6145,-37.6368,33.96,89,100,4.83,overcast clouds
